Date,Manufacturer,Category,Registrations
2022-02-01,Hero,2W,317
2022-02-01,Honda,4W,174
2022-02-01,Tata,4W,167
2022-02-01,Kia,4W,164
2022-02-02,TVS,2W,326
2022-02-02,Hero,2W,341
2022-02-02,Maruti,4W,178
2022-02-02,Bajaj,2W,321
2022-02-02,Toyota,4W,194
2022-02-02,Kia,4W,194
2022-02-02,Honda,4W,169
2022-02-02,Hyundai,4W,186
2022-02-03,Maruti,4W,165
2022-02-03,Mahindra,4W,166
2022-02-03,Hero,2W,323
2022-02-03,Hyundai,4W,194
2022-02-03,Toyota,4W,163
2022-02-03,Bajaj,2W,319
2022-02-04,Hero,2W,326
2022-02-04,Toyota,4W,165
2022-02-04,Mahindra,4W,158
2022-02-04,Maruti,4W,179
2022-02-04,Kia,4W,174
2022-02-04,Honda,4W,164
2022-02-05,Hero,2W,335
2022-02-05,Maruti,4W,168
2022-02-05,Hyundai,4W,184
2022-02-05,Honda,4W,177
2022-02-05,Kia,4W,197
2022-02-06,Honda,4W,197
2022-02-06,TVS,2W,309
2022-02-06,Maruti,4W,161
2022-02-06,Kia,4W,171
2022-02-06,Hero,2W,336
2022-02-06,Bajaj,2W,333
2022-02-06,Toyota,4W,191
2022-02-06,Mahindra,4W,196
2022-02-06,Hyundai,4W,164
2022-02-06,Tata,4W,190
2022-02-07,Hyundai,4W,179
2022-02-07,Maruti,4W,177
2022-02-07,Honda,4W,173
2022-02-07,Bajaj,2W,324
2022-02-07,Hero,2W,340
2022-02-07,Mahindra,4W,160
2022-02-07,Tata,4W,162
2022-02-07,TVS,2W,325
2022-02-07,Toyota,4W,182
2022-02-08,Maruti,4W,196
2022-02-08,Tata,4W,186
2022-02-08,Hyundai,4W,168
2022-02-08,Bajaj,2W,338
2022-02-08,Kia,4W,188
2022-02-09,Hyundai,4W,180
2022-02-09,Honda,4W,173
2022-02-09,TVS,2W,338
2022-02-09,Kia,4W,189
2022-02-09,Maruti,4W,173
2022-02-09,Toyota,4W,195
2022-02-09,Tata,4W,166
2022-02-09,Hero,2W,328
2022-02-09,Mahindra,4W,165
2022-02-10,Mahindra,4W,194
2022-02-10,Honda,4W,162
2022-02-10,Bajaj,2W,329
2022-02-10,Maruti,4W,193
2022-02-10,Kia,4W,172
2022-02-11,Hero,2W,347
2022-02-11,Hyundai,4W,163
2022-02-11,Mahindra,4W,183
2022-02-11,Kia,4W,168
2022-02-11,Maruti,4W,190
2022-02-11,Honda,4W,179
2022-02-11,Tata,4W,167
2022-02-11,Toyota,4W,193
2022-02-11,Bajaj,2W,317
2022-02-12,TVS,2W,329
2022-02-12,Maruti,4W,183
2022-02-12,Mahindra,4W,176
2022-02-12,Hyundai,4W,171
2022-02-12,Toyota,4W,163
2022-02-12,Hero,2W,325
2022-02-12,Bajaj,2W,316
2022-02-12,Honda,4W,163
2022-02-12,Kia,4W,202
2022-02-12,Tata,4W,194
2022-02-13,Maruti,4W,164
2022-02-13,Mahindra,4W,168
2022-02-13,Toyota,4W,193
2022-02-13,Kia,4W,193
2022-02-13,Tata,4W,180
2022-02-13,Bajaj,2W,336
2022-02-14,Maruti,4W,197
2022-02-14,Honda,4W,181
2022-02-14,TVS,2W,343
2022-02-14,Bajaj,2W,328
2022-02-14,Mahindra,4W,190
2022-02-14,Toyota,4W,197
2022-02-14,Hero,2W,351
2022-02-14,Tata,4W,196
2022-02-14,Hyundai,4W,187
2022-02-15,Bajaj,2W,331
2022-02-15,Toyota,4W,184
2022-02-15,Hero,2W,338
2022-02-15,Hyundai,4W,169
2022-02-15,Mahindra,4W,198
2022-02-15,TVS,2W,320
2022-02-15,Kia,4W,166
2022-02-15,Maruti,4W,177
2022-02-16,Hyundai,4W,197
2022-02-16,Toyota,4W,168
2022-02-16,Maruti,4W,192
2022-02-16,Kia,4W,194
2022-02-16,Mahindra,4W,197
2022-02-16,TVS,2W,334
2022-02-16,Hero,2W,336
2022-02-16,Honda,4W,170
2022-02-16,Bajaj,2W,333
2022-02-16,Tata,4W,193
2022-02-17,Hero,2W,349
2022-02-17,Tata,4W,179
2022-02-17,Hyundai,4W,191
2022-02-17,Mahindra,4W,192
2022-02-17,Honda,4W,174
2022-02-17,Bajaj,2W,341
2022-02-18,Mahindra,4W,167
2022-02-18,Hero,2W,324
2022-02-18,Hyundai,4W,201
2022-02-18,Maruti,4W,181
2022-02-18,Kia,4W,188
2022-02-19,Maruti,4W,173
2022-02-19,Mahindra,4W,169
2022-02-19,Tata,4W,189
2022-02-19,Hero,2W,334
2022-02-19,Bajaj,2W,354
2022-02-19,Kia,4W,201
2022-02-19,Hyundai,4W,181
2022-02-19,Toyota,4W,191
2022-02-19,Honda,4W,203
2022-02-19,TVS,2W,344
2022-02-20,Mahindra,4W,180
2022-02-20,Tata,4W,187
2022-02-20,Hero,2W,342
2022-02-20,Kia,4W,171
2022-02-20,Hyundai,4W,177
2022-02-20,Toyota,4W,170
2022-02-21,Kia,4W,205
2022-02-21,Hero,2W,324
2022-02-21,Tata,4W,194
2022-02-21,Bajaj,2W,352
2022-02-21,Maruti,4W,174
2022-02-22,TVS,2W,348
2022-02-22,Honda,4W,199
2022-02-22,Tata,4W,192
2022-02-22,Hyundai,4W,177
2022-02-22,Mahindra,4W,171
2022-02-22,Hero,2W,349
2022-02-22,Toyota,4W,208
2022-02-22,Kia,4W,205
2022-02-22,Maruti,4W,204
2022-02-23,Honda,4W,171
2022-02-23,Kia,4W,184
2022-02-23,Toyota,4W,180
2022-02-23,TVS,2W,327
2022-02-23,Maruti,4W,195
2022-02-23,Hero,2W,324
2022-02-23,Tata,4W,175
2022-02-23,Bajaj,2W,345
2022-02-23,Mahindra,4W,173
2022-02-23,Hyundai,4W,188
2022-02-24,Tata,4W,180
2022-02-24,Toyota,4W,205
2022-02-24,Honda,4W,182
2022-02-24,Kia,4W,172
2022-02-24,Hyundai,4W,202
2022-02-24,Hero,2W,325
2022-02-24,Bajaj,2W,329
2022-02-24,TVS,2W,324
2022-02-25,Bajaj,2W,331
2022-02-25,Tata,4W,185
2022-02-25,Honda,4W,194
2022-02-25,Toyota,4W,208
2022-02-25,Kia,4W,205
2022-02-25,Maruti,4W,200
2022-02-26,Mahindra,4W,171
2022-02-26,Honda,4W,210
2022-02-26,Hero,2W,342
2022-02-26,Bajaj,2W,349
2022-02-26,Maruti,4W,178
2022-02-27,Hyundai,4W,190
2022-02-27,TVS,2W,335
2022-02-27,Honda,4W,197
2022-02-27,Maruti,4W,175
2022-02-27,Tata,4W,196
2022-02-27,Hero,2W,346
2022-02-27,Mahindra,4W,189
2022-02-28,Hyundai,4W,173
2022-02-28,TVS,2W,335
2022-02-28,Mahindra,4W,211
2022-02-28,Kia,4W,211
2022-02-28,Bajaj,2W,360
2022-02-28,Hero,2W,327
2022-02-28,Honda,4W,177
2022-02-28,Maruti,4W,174
2022-02-28,Toyota,4W,178
2022-02-28,Tata,4W,179
2022-03-01,Honda,4W,204
2022-03-01,Kia,4W,208
2022-03-01,Hyundai,4W,198
2022-03-01,Bajaj,2W,354
2022-03-01,Hero,2W,325
2022-03-01,Tata,4W,193
2022-03-02,Toyota,4W,196
2022-03-02,Honda,4W,187
2022-03-02,Mahindra,4W,201
2022-03-02,Hero,2W,330
2022-03-02,Bajaj,2W,327
2022-03-02,Maruti,4W,201
2022-03-03,Kia,4W,192
2022-03-03,Maruti,4W,183
2022-03-03,Toyota,4W,182
2022-03-03,Hero,2W,362
2022-03-03,TVS,2W,360
2022-03-03,Honda,4W,178
2022-03-03,Mahindra,4W,180
2022-03-03,Bajaj,2W,345
2022-03-04,Kia,4W,209
2022-03-04,Honda,4W,177
2022-03-04,Mahindra,4W,178
2022-03-04,Tata,4W,210
2022-03-04,Bajaj,2W,331
2022-03-04,Maruti,4W,201
2022-03-05,Mahindra,4W,174
2022-03-05,Honda,4W,210
2022-03-05,Hero,2W,344
2022-03-05,Hyundai,4W,199
2022-03-05,Maruti,4W,209
2022-03-05,TVS,2W,346
2022-03-06,Hero,2W,349
2022-03-06,Hyundai,4W,208
2022-03-06,Mahindra,4W,198
2022-03-06,Bajaj,2W,349
2022-03-06,TVS,2W,334
2022-03-07,Toyota,4W,198
2022-03-07,Mahindra,4W,199
2022-03-07,Kia,4W,181
2022-03-07,Maruti,4W,180
2022-03-07,Bajaj,2W,348
2022-03-07,Hero,2W,357
2022-03-07,Tata,4W,203
2022-03-07,TVS,2W,346
2022-03-07,Honda,4W,200
2022-03-07,Hyundai,4W,202
2022-03-08,Toyota,4W,202
2022-03-08,Tata,4W,214
2022-03-08,Hyundai,4W,181
2022-03-08,TVS,2W,325
2022-03-08,Hero,2W,356
2022-03-08,Mahindra,4W,187
2022-03-09,Hyundai,4W,205
2022-03-09,TVS,2W,341
2022-03-09,Mahindra,4W,215
2022-03-09,Maruti,4W,194
2022-03-09,Kia,4W,193
2022-03-09,Toyota,4W,176
2022-03-09,Hero,2W,339
2022-03-09,Bajaj,2W,327
2022-03-09,Tata,4W,203
2022-03-09,Honda,4W,205
2022-03-10,Hero,2W,359
2022-03-10,Bajaj,2W,358
2022-03-10,Toyota,4W,198
2022-03-10,Honda,4W,203
2022-03-10,Hyundai,4W,207
2022-03-10,TVS,2W,332
2022-03-10,Kia,4W,204
2022-03-10,Maruti,4W,183
2022-03-10,Mahindra,4W,176
2022-03-10,Tata,4W,178
2022-03-11,Mahindra,4W,183
2022-03-11,Hyundai,4W,209
2022-03-11,TVS,2W,360
2022-03-11,Bajaj,2W,357
2022-03-11,Tata,4W,199
2022-03-11,Kia,4W,189
2022-03-11,Honda,4W,207
2022-03-12,Bajaj,2W,358
2022-03-12,Maruti,4W,198
2022-03-12,Honda,4W,196
2022-03-12,Tata,4W,194
2022-03-12,Hyundai,4W,194
2022-03-12,Hero,2W,361
2022-03-12,Toyota,4W,204
2022-03-12,Kia,4W,193
2022-03-12,TVS,2W,327
2022-03-12,Mahindra,4W,176
2022-03-13,Hero,2W,356
2022-03-13,Bajaj,2W,335
2022-03-13,Kia,4W,210
2022-03-13,Maruti,4W,211
2022-03-13,Toyota,4W,198
2022-03-13,TVS,2W,350
2022-03-13,Honda,4W,193
2022-03-13,Tata,4W,186
2022-03-13,Hyundai,4W,206
2022-03-14,TVS,2W,351
2022-03-14,Kia,4W,215
2022-03-14,Hero,2W,335
2022-03-14,Mahindra,4W,198
2022-03-14,Toyota,4W,180
2022-03-14,Bajaj,2W,352
2022-03-14,Tata,4W,205
2022-03-15,Bajaj,2W,362
2022-03-15,Hero,2W,364
2022-03-15,Maruti,4W,210
2022-03-15,Mahindra,4W,193
2022-03-15,TVS,2W,363
2022-03-15,Toyota,4W,201
2022-03-15,Tata,4W,214
2022-03-15,Kia,4W,188
2022-03-15,Honda,4W,199
2022-03-16,Bajaj,2W,334
2022-03-16,Hero,2W,337
2022-03-16,Hyundai,4W,194
2022-03-16,Mahindra,4W,203
2022-03-16,Honda,4W,198
2022-03-16,Maruti,4W,205
2022-03-16,Tata,4W,179
2022-03-16,Kia,4W,178
2022-03-16,Toyota,4W,213
2022-03-17,Bajaj,2W,362
2022-03-17,Hyundai,4W,211
2022-03-17,Toyota,4W,201
2022-03-17,Honda,4W,199
2022-03-17,Maruti,4W,182
2022-03-17,Mahindra,4W,210
2022-03-17,Hero,2W,363
2022-03-18,Hero,2W,336
2022-03-18,Hyundai,4W,203
2022-03-18,Kia,4W,179
2022-03-18,Toyota,4W,186
2022-03-18,Honda,4W,186
2022-03-18,Maruti,4W,217
2022-03-18,Bajaj,2W,344
2022-03-18,Mahindra,4W,178
2022-03-19,Mahindra,4W,215
2022-03-19,Kia,4W,211
2022-03-19,Toyota,4W,189
2022-03-19,Maruti,4W,196
2022-03-19,Hyundai,4W,214
2022-03-20,Toyota,4W,208
2022-03-20,Kia,4W,198
2022-03-20,Tata,4W,194
2022-03-20,Hero,2W,350
2022-03-20,Mahindra,4W,214
2022-03-20,Honda,4W,193
2022-03-20,Bajaj,2W,333
2022-03-20,Hyundai,4W,185
2022-03-21,Toyota,4W,210
2022-03-21,Kia,4W,188
2022-03-21,Hero,2W,344
2022-03-21,Maruti,4W,185
2022-03-21,TVS,2W,345
2022-03-22,Hero,2W,336
2022-03-22,Mahindra,4W,201
2022-03-22,Maruti,4W,207
2022-03-22,Tata,4W,196
2022-03-22,TVS,2W,359
2022-03-22,Bajaj,2W,358
2022-03-23,Kia,4W,213
2022-03-23,Mahindra,4W,212
2022-03-23,TVS,2W,331
2022-03-23,Toyota,4W,215
2022-03-23,Maruti,4W,218
2022-03-23,Hero,2W,354
2022-03-23,Bajaj,2W,351
2022-03-23,Hyundai,4W,217
2022-03-24,Tata,4W,180
2022-03-24,Bajaj,2W,363
2022-03-24,Honda,4W,212
2022-03-24,TVS,2W,358
2022-03-24,Hero,2W,341
2022-03-25,Hero,2W,357
2022-03-25,Kia,4W,194
2022-03-25,TVS,2W,338
2022-03-25,Maruti,4W,208
2022-03-25,Mahindra,4W,203
2022-03-25,Toyota,4W,217
2022-03-25,Honda,4W,198
2022-03-25,Bajaj,2W,333
2022-03-25,Tata,4W,179
2022-03-26,TVS,2W,365
2022-03-26,Bajaj,2W,353
2022-03-26,Hero,2W,329
2022-03-26,Mahindra,4W,193
2022-03-26,Hyundai,4W,187
2022-03-26,Honda,4W,193
2022-03-26,Toyota,4W,202
2022-03-26,Kia,4W,182
2022-03-26,Tata,4W,190
2022-03-26,Maruti,4W,215
2022-03-27,TVS,2W,353
2022-03-27,Mahindra,4W,185
2022-03-27,Maruti,4W,182
2022-03-27,Hyundai,4W,186
2022-03-27,Tata,4W,198
2022-03-27,Bajaj,2W,357
2022-03-27,Hero,2W,338
2022-03-27,Honda,4W,212
2022-03-27,Toyota,4W,204
2022-03-28,Mahindra,4W,187
2022-03-28,TVS,2W,363
2022-03-28,Bajaj,2W,348
2022-03-28,Hyundai,4W,213
2022-03-28,Honda,4W,196
2022-03-29,Hyundai,4W,203
2022-03-29,Honda,4W,187
2022-03-29,TVS,2W,332
2022-03-29,Mahindra,4W,192
2022-03-29,Kia,4W,215
2022-03-29,Toyota,4W,212
2022-03-29,Bajaj,2W,339
2022-03-29,Tata,4W,181
2022-03-29,Hero,2W,356
2022-03-29,Maruti,4W,207
2022-03-30,Toyota,4W,189
2022-03-30,Honda,4W,212
2022-03-30,Kia,4W,202
2022-03-30,TVS,2W,343
2022-03-30,Maruti,4W,216
2022-03-31,Bajaj,2W,345
2022-03-31,Tata,4W,218
2022-03-31,Maruti,4W,210
2022-03-31,Hero,2W,357
2022-03-31,Honda,4W,181
2022-03-31,Mahindra,4W,218
2022-03-31,TVS,2W,362
2022-04-01,Kia,4W,191
2022-04-01,Hyundai,4W,203
2022-04-01,Bajaj,2W,364
2022-04-01,Honda,4W,205
2022-04-01,TVS,2W,366
2022-04-01,Mahindra,4W,185
2022-04-01,Tata,4W,183
2022-04-02,Kia,4W,208
2022-04-02,Maruti,4W,217
2022-04-02,Hero,2W,359
2022-04-02,Mahindra,4W,196
2022-04-02,Toyota,4W,214
2022-04-02,Hyundai,4W,180
2022-04-02,Honda,4W,192
2022-04-03,Bajaj,2W,368
2022-04-03,TVS,2W,359
2022-04-03,Mahindra,4W,212
2022-04-03,Maruti,4W,202
2022-04-03,Tata,4W,213
2022-04-03,Toyota,4W,184
2022-04-03,Kia,4W,197
2022-04-03,Hero,2W,358
2022-04-03,Hyundai,4W,185
2022-04-04,Toyota,4W,198
2022-04-04,Tata,4W,210
2022-04-04,TVS,2W,364
2022-04-04,Maruti,4W,182
2022-04-04,Kia,4W,205
2022-04-04,Hero,2W,345
2022-04-05,Honda,4W,192
2022-04-05,Kia,4W,207
2022-04-05,Tata,4W,190
2022-04-05,Mahindra,4W,214
2022-04-05,Hero,2W,363
2022-04-05,Bajaj,2W,340
2022-04-05,TVS,2W,335
2022-04-05,Hyundai,4W,207
2022-04-06,TVS,2W,362
2022-04-06,Mahindra,4W,212
2022-04-06,Kia,4W,207
2022-04-06,Hyundai,4W,182
2022-04-06,Bajaj,2W,345
2022-04-06,Tata,4W,213
2022-04-06,Hero,2W,341
2022-04-07,Toyota,4W,192
2022-04-07,Maruti,4W,198
2022-04-07,Hyundai,4W,200
2022-04-07,Bajaj,2W,339
2022-04-07,Mahindra,4W,205
2022-04-08,Bajaj,2W,333
2022-04-08,TVS,2W,331
2022-04-08,Hyundai,4W,179
2022-04-08,Tata,4W,216
2022-04-08,Toyota,4W,193
2022-04-08,Honda,4W,212
2022-04-08,Kia,4W,213
2022-04-09,Kia,4W,195
2022-04-09,Maruti,4W,207
2022-04-09,Honda,4W,186
2022-04-09,Toyota,4W,193
2022-04-09,Tata,4W,205
2022-04-10,Hero,2W,348
2022-04-10,Toyota,4W,193
2022-04-10,TVS,2W,353
2022-04-10,Maruti,4W,208
2022-04-10,Bajaj,2W,342
2022-04-10,Kia,4W,185
2022-04-10,Tata,4W,195
2022-04-10,Honda,4W,198
2022-04-10,Mahindra,4W,214
2022-04-10,Hyundai,4W,187
2022-04-11,Maruti,4W,191
2022-04-11,Hero,2W,345
2022-04-11,Tata,4W,186
2022-04-11,Mahindra,4W,199
2022-04-11,Hyundai,4W,196
2022-04-11,Honda,4W,208
2022-04-11,Kia,4W,196
2022-04-11,TVS,2W,359
2022-04-11,Toyota,4W,216
2022-04-11,Bajaj,2W,360
2022-04-12,Honda,4W,195
2022-04-12,Hero,2W,340
2022-04-12,Kia,4W,210
2022-04-12,Hyundai,4W,193
2022-04-12,Tata,4W,194
2022-04-12,TVS,2W,350
2022-04-12,Toyota,4W,206
2022-04-13,Toyota,4W,190
2022-04-13,Tata,4W,207
2022-04-13,Kia,4W,210
2022-04-13,Honda,4W,190
2022-04-13,TVS,2W,353
2022-04-13,Mahindra,4W,199
2022-04-13,Hyundai,4W,216
2022-04-13,Bajaj,2W,329
2022-04-14,Toyota,4W,180
2022-04-14,Kia,4W,183
2022-04-14,Tata,4W,186
2022-04-14,Maruti,4W,183
2022-04-14,Mahindra,4W,186
2022-04-14,Hero,2W,366
2022-04-14,Bajaj,2W,358
2022-04-14,TVS,2W,359
2022-04-14,Hyundai,4W,189
2022-04-14,Honda,4W,185
2022-04-15,Hero,2W,330
2022-04-15,Maruti,4W,191
2022-04-15,Toyota,4W,188
2022-04-15,Kia,4W,195
2022-04-15,Hyundai,4W,189
2022-04-15,Bajaj,2W,350
2022-04-16,Hero,2W,359
2022-04-16,Honda,4W,195
2022-04-16,Kia,4W,183
2022-04-16,Maruti,4W,195
2022-04-16,Mahindra,4W,196
2022-04-16,Toyota,4W,199
2022-04-16,TVS,2W,364
2022-04-16,Hyundai,4W,209
2022-04-17,Mahindra,4W,198
2022-04-17,Hyundai,4W,208
2022-04-17,Toyota,4W,201
2022-04-17,Hero,2W,347
2022-04-17,Maruti,4W,214
2022-04-18,Toyota,4W,210
2022-04-18,Kia,4W,212
2022-04-18,Bajaj,2W,328
2022-04-18,TVS,2W,341
2022-04-18,Honda,4W,210
2022-04-18,Tata,4W,212
2022-04-18,Maruti,4W,182
2022-04-18,Hyundai,4W,215
2022-04-19,Honda,4W,216
2022-04-19,Hero,2W,347
2022-04-19,Maruti,4W,191
2022-04-19,Bajaj,2W,359
2022-04-19,Mahindra,4W,211
2022-04-19,Kia,4W,202
2022-04-20,Mahindra,4W,190
2022-04-20,Tata,4W,215
2022-04-20,Bajaj,2W,351
2022-04-20,Maruti,4W,196
2022-04-20,Toyota,4W,178
2022-04-20,Hero,2W,365
2022-04-20,Kia,4W,182
2022-04-20,TVS,2W,343
2022-04-21,Honda,4W,216
2022-04-21,Hero,2W,338
2022-04-21,Toyota,4W,212
2022-04-21,Maruti,4W,199
2022-04-21,Kia,4W,207
2022-04-21,Tata,4W,187
2022-04-21,Hyundai,4W,186
2022-04-22,Hyundai,4W,195
2022-04-22,Honda,4W,203
2022-04-22,Hero,2W,362
2022-04-22,TVS,2W,362
2022-04-22,Tata,4W,187
2022-04-22,Mahindra,4W,212
